Protein	UniquePeptides	TotalPSMs	Cp1	Cp2	Lf1	Lf2	Mt1	Mt2	Cp1_noPF	Cp2_noPF	Lf1_noPF	Lf2_noPF	Mt1_noPF	Mt2_noPF
AT1G29990.1	5	8	14096615.66	18340650.73	271453422	296111041.84	42366263	18139224.132	0	0	233128594	296111041.84	0	0
AT1G30000.1	2	2	0	0	0	0	57477587.54	41902601.77	0	0	0	0	57477587.54	0
AT1G30120.1	5	10	547293395.09	118547528.238	237379630	267872301.34	40852255.96	38268860.69	173632134.39	108037062.12	216876520	60066736.84	0	19628524.1
AT1G30230.1	9	23	45145468.117	25774107.54	3289718625	2795246663.9	303298578.45	422272124.78	17311115.86	0	3165345648	2795246663.9	233646341.98	329836907.7
AT1G30360.1	22	48	71739850.488	86101694.88	4859218947	2714538199	1761513495.18	1723821040.023	0	0	3485839847	2043298122.58	1517276033.47	831997928.43
AT1G30380.1	3	26	14953507420.8	26390914921	16777535054	14223272234.124	5598048962.8	5191427241.8	13412032064.8	26390914921	15651470080	14214066159.5	5598048962.8	4271532031
AT1G30400.1	3	3	0	0	74103561	50389617.89	0	0	0	0	45416789	23255590.64	0	0
AT1G30470.1	3	4	0	0	121219869	50401895.16	0	167770147.9	0	0	121219869	0	0	0
AT1G30510.1	4	8	242440898.5	191429074.39	240350405	249462746	1062331735	3420744081	242440898.5	191429074.39	0	0	0	0
AT1G30530.1	2	2	0	0	0	59111605.41	0	39694015.34	0	0	0	59111605.41	0	0
AT1G30580.1	17	45	28180330.913	16261658.114	2700551960	3004478562.13	988788927.7	1354214995.9	0	0	2478134392	2373564738.8	716325862.45	931587059.31
AT1G30630.1	4	7	67896550.658	27831691.88	528108210	387830872.1	67977355.97	88623139.86	0	0	402625306	249640193.6	26190857.33	0
AT1G30680.1	5	6	72660446.728	156344920.483	23139032	36111996	239661158.04	336171920.86	0	0	0	0	163961812.6	225446101.51
AT1G30690.1	9	10	0	0	444547166	219375277.11	59032869.22	119722094.54	0	0	444547166	42653687.41	0	0
AT1G30910.1	1	2	9954454.813	0	0	37805878.38	23740675.4	0	0	0	0	37805878.38	0	0
AT1G31020.1	4	4	0	0	41698549	14323157.82	196152930.71	47760856.57	0	0	0	0	196152930.71	0
AT1G31160.1	9	29	552526045.718	147628351.267	596722608	693085421.21	1254501105.171	1094125244.972	543830408.62	107066928.28	522804496	641227541.3	1028514119.231	977405308.68
AT1G31170.1	2	7	154439913.19	74389875.14	121202904	185543662.41	220877026.85	85770595.3	154439913.19	39089241.34	85228072	130814279.1	164928155.8	70374624.01
AT1G31180.1	9	27	1339704372.63	241446172.757	991496142	1326190628.29	81919493.96	15943067.32	1242244609.51	195020116.3	513329362	1146242647.64	0	0
AT1G31190.1	8	21	696234341.37	161517455.16	892919434	901746208.85	35643117.447	65793095.833	673156931.41	113369893.77	450715224	797312224.23	0	0
AT1G31220.1	4	7	187326919.21	114607090.06	109808211	95592073.94	184530519.301	875709714.64	187326919.21	70807786.17	0	0	0	0
AT1G31230.1	14	25	1001804637.36	454506569.789	742397482	768829085.166	167261834.742	95220091.983	861449960.79	105946920.85	182509000	511783235.12	0	0
AT1G31330.1	12	109	203121567812.03	284820082533.58	104189668669	113661972297.1	14635355340.32	15800245413.94	203023809841	284804191140.5	104189668669	113661972297.1	14425225064.42	15539418742.24
AT1G31340.1	1	3	0	0	184037344	193875427.3	57004739.06	110474752.2	0	0	184037344	193875427.3	0	110474752.2
AT1G31440.1	3	3	0	0	69902985	68641213.59	37107142.21	45086157.17	0	0	69902985	0	0	0
AT1G31630.1	1	1	0	8438494.358	0	0	0	0	0	8438494.358	0	0	0	0
AT1G31690.1	1	2	0	16296324.43	39820360	26383740.93	12797098.85	12222010.22	0	0	39820360	26383740.93	0	0
AT1G31730.1	9	14	12552781.13	10244675.23	297588376	285474376.59	82213372.45	67354868.033	0	0	230856300	211489381.49	0	0
AT1G31800.1	9	11	510353079.9	165206809.357	159043210	137593330.782	102887068.59	127356646.38	510353079.9	0	38069468	39804906.88	0	0
AT1G31812.1	7	17	10031214.85	9412629.479	2138475764	1270716463.23	365108083.4	391561534.72	10031214.85	0	1392935796	541664341.88	253735782.32	116634251.14
AT1G31817.1	6	10	6731299.784	0	18004468	57674592.166	411297896.474	314583789.985	0	0	0	0	411297896.474	223961401.9
AT1G31850.1	1	3	0	0	14810931	20931482.51	0	3597275.269	0	0	14810931	0	0	3597275.269
AT1G31860.1	4	8	226319350.27	70369483.766	229566068	227697854.68	33501398.555	47441776.029	183231119.88	21651157.186	123233528	85465580.28	0	0
AT1G32050.1	1	1	0	0	5949665.5	0	38421749.07	47879225	0	0	0	0	0	47879225
AT1G32060.1	21	133	48396577121.3	10174652202.903	46697900754	63582548035.11	1906741118.77	1871611673.794	43465102284.3	8107160426.427	46676679224	51072351205.2	1152988281	1113304171.6
AT1G32080.1	3	14	327506887.095	52970574.567	627733912	555710386.71	121311178.5	119938048.24	318912352.04	46971279.65	627733912	507339194	121311178.5	52566224.31
AT1G32160.1	6	11	166708738.8	40986931.968	179005658	293906584.15	70979410.27	134526625.6	120948823.41	0	95875194	200689851.09	0	0
AT1G32200.1	12	33	1126718680.96	105006325.213	1126667992	865295077.08	145186013.048	40321308.01	1002092100.8	99036941.71	1126667992	415165488.4	0	0
AT1G32210.1	2	3	8285511.56	0	116963840	129017905.46	86024647.47	30296548.94	0	0	90472336	129017905.46	0	0
AT1G32220.1	7	22	931584055.05	1532234421.5	992862064	1372596727.47	202136469.53	38423170.65	746937527.95	1142429963	777265408	907158374.9	50119543.65	0
AT1G32260.1	1	1	0	0	0	0	36477023.4	26817725.32	0	0	0	0	36477023.4	0
AT1G32400.1	1	1	0	0	13256403	20746399.13	22262216.5	21421772.05	0	0	0	0	0	21421772.05
AT1G32440.1	6	8	297893070.21	65185667.54	201555324	300149099.568	8349336.159	0	202737194.6	33589911.5	124675464	196460487.69	0	0
AT1G32470.1	8	138	348793673.53	251769438.53	8410550351.8	8885489680.08	86906017207.1	88775403784.1	348793673.53	251769438.53	8393843754	8873195857	86906017207.1	88775403784.1
AT1G32500.1	10	22	746557583.74	128892763.501	420278063	493847217.22	0	41445710.092	677640905.76	94847257.69	309250339	178471456.84	0	0
AT1G32520.1	3	4	56827597.46	37705622.229	97575332	137328021.09	0	0	56827597.46	0	0	94997912.33	0	0
